block_size,blocks,avg_latency_us,op,pattern
4096,32768,93,write,sequential
4096,32768,77,read,sequential
4096,32768,5269,write,random
4096,32768,5431,read,random
16384,8192,201,write,sequential
16384,8192,203,read,sequential
16384,8192,5182,write,random
16384,8192,5688,read,random
262144,512,2991,write,sequential
262144,512,3335,read,sequential
262144,512,5605,write,random
262144,512,8693,read,random
1048576,128,14864,write,sequential
1048576,128,11576,read,sequential
1048576,128,12706,write,random
1048576,128,20912,read,random
4194304,32,48017,write,sequential
4194304,32,46292,read,sequential
4194304,32,53063,write,random
4194304,32,54004,read,random
16777216,8,187917,write,sequential
16777216,8,189204,read,sequential
16777216,8,191980,write,random
16777216,8,189845,read,random
